Malzeme Kodu;Müşteri Malzeme Adı;Birim Satış Fiyat;Birim Maliyet Fiyat;Kur;Ornet Malzeme Adı;;;;;;
ORN0040;"Ajax Space Control Kontrol Kumandası
KablosuzUzaktanKontrol,çiftyönlühaberleşmeilekurulumsinyaliulaştıteyidi,panikbutonuvekur/çözbutonları,açıkalanda1200m'yekadarsinyalgönderme,5yılakadarpil ömrü (pil dahil değildir)";$46,00;$28,80;USD;;;;;;;
ORN0041;"Ajax Home Siren868MhzDahiliortamkablosuzevsireni
85dBsesgücü,ayarlanabilirçalmasüresi,2000m açık alan menzili ve 5 yıla kadar pil ömrü (pil dahil değildir).";$121,00;$42,00;USD;;;;;;;
ORN0042;"Ajax Street Siren 868Mhz Dış ortam kablosuz Siren
85-113dB ayarlanabilir ses gücü, ayarlanabilir ses seviyesi ve LED profilleri, sabotaj alarmı (açıdeğiştiğianalarmverir), 1500m açık alan menzili ve 5 yıla kadar pil ömrü (pildahildeğildir), doğrudan besleme için 12VDC besleme girişi.";$121,00;$91,00;USD;;;;;;;
ORN0043;"DS-7674RT-L1- DS-7684NI-W1 UHK 4 Kanal NVR (1 SATA, H.265+)
H.265+/H.265/ H.264+/H.264, Kayıt/İzleme Bant Genişliği: 40Mbps/60Mbps, 1xHDMI, 1xVGA (1920x1080), 6MP'e kadar çözünürlük desteği, 1xRJ45 (10/100 Mbps ethernet arayüzü), 1 SATA desteği (6TB'a kadar), 2xUSB 2.0, 12V DC";$62,00;$29,00;USD;;;;;;;
ORN0044;"DS-7674DG-L1/4P/MT 4 Kanal NVR (1 SATA, H.265+, PoE)
H.265+/H.265/ H.264+/H.264, Kayıt/İzleme Bant Genişliği: 40Mbps/60Mbps, 1xHDMI, 1xVGA (1920x1080), 6MP'e kadar çözünürlük desteği, 1xRJ45 (10/100 Mbps ethernet arayüzü), 4x PoE RJ45 arayüz (36W), 1xSATA(~6TB), 2xUSB 2.0, 48V DC";$62,00;$29,00;USD;;;;;;;
ORN0045;"DS-7848NI-L1-DS-7578WRT-L1UHK 8 Kanal NVR (1 SATA, H.265+)
H.265+/H.265/ H.264+/H.264, Kayıt/İzleme Bant Genişliği: 60Mbps/60Mbps, 1xHDMI, 1xVGA (1920x1080), 6MP'e kadar çözünürlük desteği, 1xRJ45 (10/100 Mbps ethernet arayüzü), 1 SATA desteği (6TB'a kadar), 2xUSB 2.0, 12V DC";$95,00;$48,00;USD;;;;;;;
ORN0046;"DS-7848WT-L1/8P/M 8 Kanal NVR (1 SATA, H.265+, PoE)
H.265+/H.265/ H.264+/H.264, Kayıt/İzleme Bant Genişliği: 60Mbps/60Mbps, 1xHDMI, 1xVGA (1920x1080), 6MP'e kadar çözünürlük desteği, 1xRJ45 (10/100 Mbps ethernet arayüzü), 8x PoE RJ45 arayüz (75W), 1xSATA (~6TB), 2xUSB 2.0, 48V DC";$95,00;$48,00;USD;;;;;;;
ORN0047;"DS-79516WT-L2-HVN DS-7P16NI-Q2UHK 16 Kanal NVR (1 SATA, H.265+)
H.265/H.265+/H.264/H.264+/MPEG4, 8MP'e kadar çözünürlük desteği, Çift yönlü ses desteği, Kayıt/izleme bant genişliği: 160Mbps/80Mbps, 1xHDMI (4K desteği), 1xVGA(FHD), 1xSes çıkışı, 1xSATA (~8TB), 1xRJ45, 2xUSB2.0, 12VDC.";$181,00;$90,80;USD;DS-7616NI-Q1;;;;;;
ORN0048;"DS-7916WT-L2/16P -DS-7P16NI-Q2/16PUHK 16 Kanal NVR (2 SATA,H.265+,PoE)
H.265/H.265+/H.264/H.264+/MPEG4, 8MP'e kadar çözünürlük desteği, Çift yönlü ses desteği, Kayıt/izleme bant genişliği: 160Mbps/80Mbps, 1xHDMI (4K desteği), 1xVGA(FHD), 1xSes çıkışı, 2xSATA (~6TB), 1xRJ45, 2xUSB2.0, 16 x PoE arayüz (150W), 220VAC";$0,00;$0,00;USD;"DS-7616NI-Q2/16P -DS-7P16NI-Q2/16PUHK 16 Kanal NVR (2 SATA,H.265+,PoE)
H.265/H.265+/H.264/H.264+/MPEG4, 8MP'e kadar çözünürlük desteği, Çift yönlü ses desteği, Kayıt/izleme bant genişliği: 160Mbps/80Mbps, 1xHDMI (4K desteği), 1xVGA(FHD), 1xSes çıkışı, 2xSATA (~6TB), 1xRJ45, 2xUSB2.0, 16 x PoE arayüz (150W), 220VAC";;;;;;
ORN0049;"DS-7992WT-K2/UHK 32 Kanal NVR (2 SATA, H.265+)
İkili işletim sistemi, ANR desteği, H.265/H.265+/H.264/H.264+/MPEG4, 8MP'e kadar çözünürlük desteği, çift yönlü ses desteği, Kayıt/İzleme bant genişliği: 256Mbps/160Mbps, 1xHDMI (4K), 1xVGA (FullHD), (HDMI ve VGA birbirinden bağımsız çalışabilir), Ses çıkışı, kayıttan oynatma: 16 kanal (aynı anda), 2xSATA desteği (~8TB), 1xRJ45, 1xUSB2.0, 1xUSB3.0, Alarm giriş/çıkışı: 4/1, 12VDC.";$226,00;$124,00;USD;"DS-7632NI-K2/UHK 32 Kanal NVR (2 SATA, H.265+)
İkili işletim sistemi, ANR desteği, H.265/H.265+/H.264/H.264+/MPEG4, 8MP'e kadar çözünürlük desteği, çift yönlü ses desteği, Kayıt/İzleme bant genişliği: 256Mbps/160Mbps, 1xHDMI (4K), 1xVGA (FullHD), (HDMI ve VGA birbirinden bağımsız çalışabilir), Ses çıkışı, kayıttan oynatma: 16 kanal (aynı anda), 2xSATA desteği (~8TB), 1xRJ45, 1xUSB2.0, 1xUSB3.0, Alarm giriş/çıkışı: 4/1, 12VDC.";;;;;;
